ident, source, url, result
8195181,SAPO Desporto,http://desporto.sapo.pt/futebol/liga_espanhola/artigo/2016/01/01/atletico-madrid-oficializa-contratacao-de-augusto-fernandez,Downloaded
8195182,zerozero,http://www.zerozero.pt/news.php?id=167399,Non-utf-8 encoding
8195183,Activa,http://activa.sapo.pt/moda/novidades/2016-01-01-Longines-lanca-edicao-especial-limitada-Portugal--A-Nossa-Historia,Downloaded
8195184,Jornal de Notícias,http://www.jn.pt/PaginaInicial/Desporto/Interior.aspx?content_id=4960498&page=-1,Downloaded
8195098,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/acordo_entra_hoje_em_vigor_no_brasil_depois_de_tres_anos_de_polemica.html,Bad URL
8195121,RTP,http://www.rtp.pt/noticias/mundo/milhares-de-pessoas-celebraram-entrada-no-novo-ano_v885054,Bad URL
8195123,RTP,http://www.rtp.pt/noticias/mundo/estacoes-de-comboio-de-munique-ja-reabriram-depois-de-suspeita-de-atentado_v885056,Bad URL
8195132,Correio da Manhã,http://www.cmjornal.xl.pt/cm_ao_minuto/detalhe/buscas_na_praia_da_nazare_para_encontrar_homem_desaparecido.html,Bad URL
8195134,Renascença,http://rr.sapo.pt/noticia/43128/2016_o_ano_antecipado_por_16_personalidades,Bad URL
8195136,Futebol 365,http://www.futebol365.pt/artigo/144883-banca-de-jornais-o-que-lopetegui-mudou-em-201516-o-jogo/,Bad URL
8195141,Renascença,http://rr.sapo.pt/noticia/43146/ano_comeca_com_buscas_na_nazare_a_procura_de_homem_desaparecido_no_mar,Bad URL
8195149,Renascença,http://rr.sapo.pt/noticia/43146/ano_comeca_com_buscas_na_nazare_ha_um_homem_desaparecido_no_mar,Bad URL
8195150,Futebol 365,http://www.futebol365.pt/artigo/144884-cerca-de-3000-acidentes-e-14-mortos-nas-operacoes-natal-e-ano-novo/,Bad URL
8195156,O Informador Fiscal,http://www.informador.pt/noticias/F472.019A/Euribor-taxa-a-1-mes-regressa-as-subidas,Bad URL
8195167,Renascença,http://rr.sapo.pt/noticia/43147/nova_lei_do_tabaco_em_vigor_mas_imagens_chocantes_so_aparecem_nos_macos_em_maio,Bad URL
8195168,TeK,http://tek.sapo.pt/extras/site_do_dia/artigo/get_inspired_365_enfrente_o_novo_ano_com_uma_grande_dose_de_inspiracao-45585ztp.html,Bad URL
8195170,zerozero,http://www.zerozero.pt/news.php?id=167388,Non-utf-8 encoding
8195182,zerozero,http://www.zerozero.pt/news.php?id=167399,Non-utf-8 encoding
8195185,Pplware,http://pplware.sapo.pt/truques-dicas/as-5-melhores-aplicacoes-de-camara-para-o-seu-android/,Downloaded
8195186,zerozero,http://www.zerozero.pt/news.php?id=167400,Non-utf-8 encoding
8195187,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/portugal/detalhe/despiste_causa_um_morto_em_arraiolos.html,Downloaded
8195188,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/portugal/detalhe/homem_morre_atropelado_por_comboio.html,Downloaded
8195189,RTP,http://www.rtp.pt/noticias/pais/terrorismo-portugal-nao-tem-motivos-para-alarme_a885050,Downloaded
8195190,O Jogo,http://www.ojogo.pt/Futebol/1a_liga/Sporting/interior.aspx?content_id=4960508,Downloaded
8195191,O Jogo,http://www.ojogo.pt/Futebol/1a_liga/Porto/interior.aspx?content_id=4960501,Downloaded
8195192,Diário de Notícias,http://www.dn.pt/portugal/interior/hoje-e-dia-da-ultima-mensagem-de-ano-novo-de-cavaco-silva-4960507.html?page=-1,Downloaded
8195193,Jornal de Negócios,http://www.jornaldenegocios.pt/opiniao/economistas/detalhe/como_combater_o_terrorismo_jihadista.html,Downloaded
8195194,Diário de Notícias,http://www.dn.pt/portugal/interior/aumento-do-salario-minimo-para-530-euros-publicado-em-diario-da-republica-4960500.html?page=-1,Downloaded
8195195,Jornal de Negócios,http://www.jornaldenegocios.pt/economia/europa/uniao_europeia/detalhe/faz_hoje_30_anos_que_portugal_se_tornou_mais_europeu.html,Downloaded
8195196,Diário de Notícias,http://www.dn.pt/portugal/interior/3000-acidentes-e-infelizmente-14-vitimas-mortais-4960492.html?page=-1,Downloaded
8195197,Renascença,http://rr.sapo.pt/noticia/43148/segundo_dia_da_operacao_ano_novo_da_gnr_regista_dois_mortos,Bad URL
8195198,Diário de Notícias,http://www.dn.pt/portugal/interior/nova-lei-ja-esta-em-vigor-imagens-chocantes-so-a-partir-de-maio-4960510.html?page=-1,Downloaded
8195199,RTP,http://www.rtp.pt/noticias/pais/sinistralidade-esta-a-aumentar_a885048,Downloaded
8195200,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/portugal/detalhe/gnr_regista_dois_mortos_na_estrada.html,Downloaded
8195201,zerozero,http://www.zerozero.pt/news.php?id=167401,Non-utf-8 encoding
8195202,SAPO Desporto,http://desporto.sapo.pt/futebol/primeira_liga/artigo/2016/01/01/quintero-rendido-a-brahimi-o-que-ele-faz-com-a-bola-e-incrivel,Downloaded
8195203,Activa,http://activa.sapo.pt/belezaesaude/maquilhagem/2016-01-01-Ha-uma-linha-de-maquilhagem-para-vegans-e-vegetarianos,Downloaded
8195204,Caras,http://caras.sapo.pt/famosos/2016-01-01-Amor-Impossivel-de-Antonio-Pedro-Vasconcelos-reune-elenco-em-Viseu,Downloaded
8195205,SOL,http://www.SOL.pt/noticia/491913,Downloaded
8195206,Diário Economico,http://economico.sapo.pt/noticias/crimes-economicos-roubam-ao-estado-mais-de-50-mil-milhoes-por-ano_238681.html,Downloaded
8195207,RTP,http://www.rtp.pt/noticias/pais/mais-de-cinquenta-mil-pessoas-passaram-ano-novo-no-terreiro-do-paco_v885073,Downloaded
8195208,Jornal de Negócios,http://www.jornaldenegocios.pt/economia/europa/detalhe/30_anos_na_uniao_europeia_em_cinco_graficos.html,Downloaded
8195209,Jornal de Notícias,http://www.jn.pt/PaginaInicial/Cultura/Interior.aspx?content_id=4960515&page=-1,Downloaded
8195210,Jornal Record,http://www.record.xl.pt/fora-de-campo/detalhe/buscas-na-praia-da-nazare-para-encontrar-homem-desaparecido.html,Downloaded
8195211,RTP,http://www.rtp.pt/noticias/pais/prosseguem-as-buscas-para-encontrar-homem-desaparecido-na-praia-da-nazare_v885074,Downloaded
8195212,RTP,http://www.rtp.pt/noticias/economia/cgtp-aguarda-mudancas-no-iefp-com-expectativa_a885071,Downloaded
8195213,Diário de Notícias,http://www.dn.pt/portugal/interior/homem-morre-atropelado-por-comboio-em-gondomar-4960513.html?page=-1,Downloaded
8195214,Diário de Notícias,http://www.dn.pt/portugal/interior/despiste-de-veiculo-ligeiro-em-arraiolos-provoca-um-morto-4960511.html?page=-1,Downloaded
8195215,O Jogo,http://www.ojogo.pt/Futebol/1a_liga/Benfica/interior.aspx?content_id=4960516,Downloaded
8195216,Correio da Manhã,http://www.cmjornal.xl.pt/nacional/sociedade/detalhe/nove_barras_fechadas_devido_a_agitacao_maritima.html,Downloaded
8195217,Jornal de Notícias,http://www.jn.pt/PaginaInicial/Nacional/Interior.aspx?content_id=4960522&page=-1,Downloaded
8195218,Destak,http://www.destak.pt/artigo/252136-oito-barras-do-continente-e-uma-dos-acores-fechadas-devido-a-agitacao-maritima,Downloaded
8195220,Jornal Record,http://www.record.xl.pt/futebol/futebol-nacional/liga-nos/sporting/detalhe/bruno-de-carvalho-lembra-7-1-ao-benfica-em-mensagem-de-ano-novo.html,Downloaded
8195221,RTP,http://www.rtp.pt/noticias/pais/milhares-de-pessoas-encheram-avenida-dos-aliados_v885076,Downloaded
8195222,RTP,http://www.rtp.pt/noticias/desporto/pizzi-e-o-jogador-mais-caro-da-historia-do-benfica_v885066,Downloaded
8195223,Euronews,http://pt.euronews.com/2016/01/01/nova-deli-comeca-a-implementar-medidas-contra-poluicao/,Downloaded
8195224,Euronews,http://pt.euronews.com/2016/01/01/policia-suspeita-de-um-grupo-de-sirios-e-iraquianos-em-atentados-falhados-de/,Downloaded
